,Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
5647,And grace that shines can kindle vnto wrath:,religion,light,fire,emotions,,,
5648,"this Town craves maintenance,",urban,emotions,preservation,,,,
5654,"City, 'Tis I that made your widows: many an heir Of these fair edifices 'fore my wars Have I heard groan and drop:",urban,matrimony,familial,military,sensations,sounds,death
5656,"I fell into my marriage bed drunke: Like the Leopard, well with sober eyes would I had avoided it;",sexuality,matrimony,food,animals,mental_faculty__state__entities,anatomy,danger__safety
5658,will not suffer The husband Viper-like to pray on them.,suffering,matrimony,animals,food,,,
5659,"LaodiciaÂ whose high reared walls, FairÂ LyeasÂ washeth with her silver wave",spatial,architecture,myth,cleaning,nature,,
5665,"Would ever have, to incur a general mock, Run from her guardage to the sooty bosom Of such a thing as thou?",derision__offense___contempt,danger__safety,social_relations,cleaning,anatomy,,
5666,That they might mount in equal paralel With golden majesty likeÂ SaturnsÂ son To dart down fire and thunder on their foes.,astrology,politics,myth,familial,violence,fire,social_relations
5668,This policy and reverence of age makes the world bitter to the best of our times,politics,devotion,LIFE'S CYCLE,nature,feelings,time,
5678,"There's husbandry in heaven, Their candles are all out. ",economics,religion,fire,consumption,,,
5680,"Thou Ribbauld, Cuckcold Rascall, Libeller, Pernicious LecherÂ voide of all performance;",social_status,sexuality,etiquette,ethics,privation,,
5681,"as illiterate men say Latine praiers By roote of heart, and daily iteration;  To have rewards proportion'd to their labours; ",language,religion,nature,anatomy,time,economics,labor
5682,Why does yon fellow falsify highways And put his life between the judgeÂÂs lips ,social_relations,deception,spatial,life,judiciary,anatomy,
5683,"You promise mountaines, and you draw men on,",language,nature,deception,,,,
5688,but if darke windes Or thick black cloudes drive back the blinded stars,darkness,nature,colors,danger__safety,concealment,astrology,
5689,"That have my second Husband bespoke, My doore shall be a testimonie of it.",quantities,matrimony,language,architecture,judiciary,,
5690,ParmenioÂ thought whilst yetÂ DariusÂ stood This course was out of season;,historical,mental_faculty__state__entities,preservation,politics,time,,
5695,"Sophonisba,Â your flame But equall mine, and weele ioy such delight That Gods shall not admire, but euen spight.",fire,quantities,emotions,sexuality,religion,recognition,
5701,his delights Were dolphin-like; they show'd his back above The element they lived in,feelings,animals,appearance,anatomy,nature,spatial,life
5702,"break through all with ease, and pass as fair As he had all been fire, and they [the soldiers] but air",violence,feelings,spatial,appearance,fire,military,nature
5704,"far more loving then theÂ CharianÂ Queen, that drank her Husband's never sundered heart.",emotions,politics,food,matrimony,violence,anatomy,
5705,"may his Corpse be the Physician's stage, Which played upon, stands not to honored Age,",death,medicine,theatre,preservation,recognition,LIFE'S CYCLE,
5708,"He that strives to invert The uniuersal's course with his poor way, Not only dust-like shivers with the sway, But crossing God in his great work",labor,destruction,nature,spatial,materials,movement,religion
5709,That has no other childÂÂs-part but her honour That keeps her low and empty in estate.,women,military,LIFE'S CYCLE,sexuality,preservation,spatial,economics
5717,"vnfortunate Gentleman, Cropt by her hand, as some rude passenger Doth pluck the tender Roses in the budde,",suffering,social_status,architecture,anatomy,geography,violence,nature
5718,From an olde leacherous payre of breeches that lay  upon a wench to keepe her warme [dwarves were sprung]: for certainely they are no mans worke:,sexuality,clothes,women,temperature,reproduction,deformities__disabilities,labor
5719,only show is all That this world cares for; I'll stop out of all The cares 'tis steeped in.,appearance,politics,feelings,hindrance,cleaning,,
5720,"hair-breadth scapes i' the imminent deadly breach,",anatomy,spatial,danger__safety,death,architecture,,
5723,Let this [money] thank your pains.,economics,recognition,suffering,,,,
5724,"That at your words, I may fall down and die.",language,death,physical_activities,,,,
5729,This their ambition by the motherÂÂs side Is dangerous and for safety must be purged.,character_traits__nature,familial,danger__safety,medicine,,,
5732,in the brunt of seventeen battles since He lurch'd all swords of the garland. ,violence,quantities,military,weapons__armor,nature,,
5733,Thy death and fortunes bid your followers fly.,death,mystical,commands,social_relations,danger__safety,,
5734,"my hearts treasurer,Â what now remaines?",anatomy,economics,preservation,,,,
5740,"whose fair Crystal waves, Once sounded greatÂ AlcidesÂ echoing fame: when as he slew fruitful headed snake",nature,sounds,myth,recognition,violence,anatomy,animals
5742,not a duck egg richer when I march [in war] and in continual hazard of my life,animals,military,danger__safety,,,,
5743,"The staff is now advancing for the Rest, And when I tilt ,Â aware your Crest.",weapons__armor,sleep,movement,danger__safety,heraldry,,
5746,Nature you art a Traytour to my soule. Thou hast abus'd my trust. ,nature,social_relations,religion,deception,,,
5755,his mounting prid's sunke in the peoples hate.,physical_activities,character_traits__nature,nautical,politics,emotions,,
5758,"I am slow and dull, Discending like the earth",movement,physical_activities,nature,,,,
5761,no reason Can found his state in safety.,mental_faculty__state__entities,architecture,danger__safety,,,,
5762,[wife] That was a whole world without spot to me: Though now a world of spots,matrimony,nature,cleaning,,,,
5763,"If you and nature can so gently part, The stroke of death is as a lover's pinch, Which hurts, and is desired.",nature,privation,violence,death,emotions,suffering,sexuality
5764,he would willingly spend his talent on an oyster wife.,mental_faculty__state__entities,economics,character_traits__nature,food,matrimony,,
5767,"That you depart'st hence safe, Does pay your labour richly",privation,danger__safety,economics,labor,,,
5772,"feede some hope, by deeming him a villaine, That sooths this sorrowfull newes into our eares",food,emotions,mental_faculty__state__entities,ethics,feelings,language,anatomy
5773,"men's minds Perplexed like his, are like Land-troubling-winds, Who have no gracious temper.",men,mental_faculty__state__entities,nature,suffering,character_traits__nature,,
5775,"the blood of Seruius [former king] fall, as heauy as a huge mountaine on your Tyrant heads, orewhelming all your glory.",anatomy,politics,destruction,weight,nature,recognition,
5781,"No labour then was harsh, no way so deep, No rock so steep, but if a Bird could scale it, up would our youth fly to.",labor,spatial,nature,animals,physical_activities,LIFE'S CYCLE,
5784,"by the dolefull murmur as you goe, The hils may hear you mourne and sound my woe,",sounds,movement,nature,sensations,emotions,,
5788,I will tempt My Starres no longer; nor protract my time Of marriage. ,derision__offense___contempt,astrology,time,matrimony,,,
5797,"To all their spleenes a welcome Ile affoord, With this bold hart, strong hand, and my good sword.",anatomy,greetings,economics,character_traits__nature,weapons__armor,,
5802,"He feels the touch of such a stratagem, it is not the choisest brace of all our Bands Can manacle, or quench hisÂ fiery hands.",sensations,deception,incarceration,consumption,fire,anatomy,
5803,"the Simile at all parts holds, As all good Subjects hold, that love our favour.",language,preservation,politics,emotions,social_relations,,
5805,"I go with a more willing mind than didÂ AeneasÂ when fromÂ TrojanÂ fire, He bare his Father,",movement,mental_faculty__state__entities,myth,fire,labor,familial,
5809,"my title beares no breadth,",social_status,labor,spatial,,,,
5811,His taints and honours Waged equal with him.,cleaning,recognition,violence,quantities,,,
5813,"Even that high hand that hurled me down thus low, Keep you from rising high",spatial,anatomy,violence,preservation,physical_activities,,
5818,maintain The siege against the hottest opposition.,preservation,military,temperature,social_unrest,,,
5822,"Their stay is worth their ruin, should we live, If they in fault were? ",preservation,destruction,life,ethics,,,
5831,Was there none fit to practise tyranny on But whom our heart elected?,etiquette,politics,anatomy,mental_faculty__state__entities,,,
5834,Spare your Athenian cradle and those kin Which in the bluster of your wrath must fall With those that have offended: ,politics,domestic,familial,nature,emotions,destruction,derision__offense___contempt
5838,The neighs of horse to tell of her [wife and sister] approach Long ere she did appear; ,sounds,equestrian,language,matrimony,familial,appearance,time
5839,"And asÂ AppellesÂ limb'd the Queen of Love, In her right hand grasping a heart in flames,",historical,art,politics,emotions,anatomy,adhesion,fire
5842,"inÂ LycurgusÂ favor; armed [fortune] her beauties With Shield and javeline,",historical,social_relations,military,mystical,appearance,weapons__armor,women
5843,"base female, Thou womans soldier, fit for nights assaults",character_traits__nature,women,military,etiquette,darkness,violence,
5846,[a man] Who hast not in your brows an eye discerning Thine honour from your suffering;,men,anatomy,mental_faculty__state__entities,recognition,suffering,,
5849,"clap ye furies, Daunce your blacke rounds, and with your iron whips, Fetching eternall lashes as you skip Strike a loud sounding musicke through the ayre, ",joviality,myth,colors,weapons__armor,time,violence,music
5852,This is the [woman] monkey's own giving out [marry her],women,animals,language,matrimony,,,
